id,title,price,sold_quantity,available_quantity,category_id,permalink
MCO1533230079,Televisor LG 75 Pulgadas 4k Ultra Hd 75ut,3532900.0,0,1,MCO1000,https://articulo.mercadolibre.com.co/MCO-1533230079-televisor-lg-75-pulgadas-4k-ultra-hd-75ut-_JM
MCO2425773256,"Temporizador Programador Electrico, Timer, Reloj 110v 24h",29500.0,0,1,MCO1000,https://www.mercadolibre.com.co/temporizador-programador-electrico-timer-reloj-110v-24h/p/MCO37322096
MCO2207955858,Amazon Echo Dot 5th Gen Con Asistente Virtual Alexa 110v A 240v Color Blanco,210000.0,0,1,MCO1000,https://www.mercadolibre.com.co/amazon-echo-dot-5th-gen-con-asistente-virtual-alexa-110v-a-240v-color-blanco/p/MCO19795012
MCO2632675380,Televisor Samsung Gaming Smart 65 Neo Qled 4k Qn90d,6999900.0,0,1,MCO1000,https://www.mercadolibre.com.co/televisor-samsung-gaming-smart-65-neo-qled-4k-qn90d/p/MCO39651137
MCO1417908045,Cable Hdmi 3 Metros Mallado. Doble Filtro Núcleo De Ferrita,8050.0,0,100,MCO1000,https://www.mercadolibre.com.co/cable-hdmi-3-metros-mallado-doble-filtro-nucleo-de-ferrita/p/MCO36182192
MCO1340358853,Focusrite Scarlett Solo Studio Interfaz Audio Usb-c 4ª Gen Color Rojo,1248000.0,0,1,MCO1000,https://www.mercadolibre.com.co/focusrite-scarlett-solo-studio-interfaz-audio-usb-c-4-gen-color-rojo/p/MCO27088461
MCO1456416261,Tv Tcl 75 P755 4k-uhd Smart Tv Google,3562900.0,0,1,MCO1000,https://www.mercadolibre.com.co/tv-tcl-75-p755-4k-uhd-smart-tv-google/p/MCO37172697
MCO1441703289,Parlante Alta Voz Recargable Ducha Bluetooth Resiste Agua Color Fucsia,13292.0,0,500,MCO1000,https://www.mercadolibre.com.co/parlante-alta-voz-recargable-ducha-bluetooth-resiste-agua-color-fucsia/p/MCO29085462
MCO2618966058,Convertidor Adaptador Dp Displayport Macho A Hdmi Hembra 4k,13047.0,0,1,MCO1000,https://www.mercadolibre.com.co/convertidor-adaptador-dp-displayport-macho-a-hdmi-hembra-4k/p/MCO21618659
MCO2318020412,Qcy H3 Anc Audífonos Inalámbricos Gamer Diadema Hi-res Na Color Azul,150651.49,0,100,MCO1000,https://www.mercadolibre.com.co/qcy-h3-anc-audifonos-inalambricos-gamer-diadema-hi-res-na-color-azul/p/MCO28965400
MCO2740385096,Televisor Kalley 70 K-gtv70uhdq 4k-uhd Qled Smart Tv Google,2687900.0,0,50,MCO1000,https://www.mercadolibre.com.co/televisor-kalley-70-k-gtv70uhdq-4k-uhd-qled-smart-tv-google/p/MCO43093408
